id|employee_id|allocation_id|reason|start_date|end_date|temporary
30989|9827|98044|vacation|2020-01-17|2020-01-18|False
30989|9827|118649|vacation|2020-01-17|2020-01-18|False
30217|1366|2679|vacation|2020-01-20|2020-01-20|False
30217|1366|2666|vacation|2020-01-20|2020-01-20|False
31328|8574|27399|vacation|2020-01-17|2020-01-18|False
31385|341|56236|vacation|2020-06-01|2020-06-14|False
31385|341|56235|vacation|2020-06-01|2020-06-14|False
31216|2386|20771|vacation|2020-02-10|2020-02-15|False
31216|2386|20800|vacation|2020-02-10|2020-02-15|False
31024|6814|95475|vacation|2020-03-03|2020-03-16|False
31024|6814|95539|vacation|2020-03-03|2020-03-16|False
31024|6814|95578|vacation|2020-03-03|2020-03-16|False
31024|6814|95437|vacation|2020-03-03|2020-03-16|False
31024|6814|95443|vacation|2020-03-03|2020-03-16|False
31024|6814|95458|vacation|2020-03-03|2020-03-16|False
31024|6814|30482|vacation|2020-03-03|2020-03-16|False
30737|6657|95677|vacation|2020-03-03|2020-03-16|False
30737|6657|40656|vacation|2020-03-03|2020-03-16|False
30737|6657|40657|vacation|2020-03-03|2020-03-16|False
30737|6657|95666|vacation|2020-03-03|2020-03-16|False
30737|6657|95669|vacation|2020-03-03|2020-03-16|False
30737|6657|95670|vacation|2020-03-03|2020-03-16|False
30737|6657|95673|vacation|2020-03-03|2020-03-16|False
30737|6657|95674|vacation|2020-03-03|2020-03-16|False
30737|6657|40653|vacation|2020-03-03|2020-03-16|False
30737|6657|40651|vacation|2020-03-03|2020-03-16|False
30609|6814|95437|vacation|2020-09-29|2020-10-15|False
30609|6814|95443|vacation|2020-09-29|2020-10-15|False
30609|6814|95458|vacation|2020-09-29|2020-10-15|False
30609|6814|95475|vacation|2020-09-29|2020-10-15|False
30609|6814|95539|vacation|2020-09-29|2020-10-15|False
30609|6814|95578|vacation|2020-09-29|2020-10-15|False
30609|6814|30482|vacation|2020-09-29|2020-10-15|False
30739|6657|40656|vacation|2020-09-29|2020-10-15|False
30739|6657|95666|vacation|2020-09-29|2020-10-15|False
30739|6657|95669|vacation|2020-09-29|2020-10-15|False
30739|6657|95670|vacation|2020-09-29|2020-10-15|False
30739|6657|95677|vacation|2020-09-29|2020-10-15|False
30739|6657|95673|vacation|2020-09-29|2020-10-15|False
30739|6657|95674|vacation|2020-09-29|2020-10-15|False
30739|6657|40657|vacation|2020-09-29|2020-10-15|False
30739|6657|40653|vacation|2020-09-29|2020-10-15|False
30739|6657|40651|vacation|2020-09-29|2020-10-15|False
30769|9286|115407|vacation|2020-08-18|2020-09-05|False
30768|9286|115407|vacation|2020-06-09|2020-06-16|False
30748|6847|97669|vacation|2020-04-21|2020-04-25|False
30748|6847|94958|vacation|2020-04-21|2020-04-25|False
30754|6847|97669|vacation|2020-10-02|2020-10-02|False
30754|6847|94958|vacation|2020-10-02|2020-10-02|False
31404|2440|39758|vacation|2020-08-11|2020-08-22|False
31404|2440|39757|vacation|2020-08-11|2020-08-22|False
31411|8758|117480|vacation|2020-01-21|2020-01-23|False
31411|8758|117481|vacation|2020-01-21|2020-01-23|False
31411|8758|19038|vacation|2020-01-21|2020-01-23|False
31411|8758|19019|vacation|2020-01-21|2020-01-23|False
31412|8844|54251|vacation|2020-01-21|2020-01-23|False
31412|8844|54252|vacation|2020-01-21|2020-01-23|False
31412|8844|18974|vacation|2020-01-21|2020-01-23|False
31412|8844|18962|vacation|2020-01-21|2020-01-23|False
31413|5341|40214|vacation|2020-05-02|2020-05-02|False
31413|5341|40213|vacation|2020-05-02|2020-05-02|False
31413|5341|40216|vacation|2020-05-02|2020-05-02|False
31413|5341|40215|vacation|2020-05-02|2020-05-02|False
31416|5341|40214|vacation|2020-09-14|2020-09-19|False
31416|5341|40213|vacation|2020-09-14|2020-09-19|False
31416|5341|40216|vacation|2020-09-14|2020-09-19|False
31416|5341|40215|vacation|2020-09-14|2020-09-19|False
31414|5341|40214|vacation|2020-05-29|2020-06-13|False
31414|5341|40213|vacation|2020-05-29|2020-06-13|False
31414|5341|40216|vacation|2020-05-29|2020-06-13|False
31414|5341|40215|vacation|2020-05-29|2020-06-13|False
31333|1577|94529|vacation|2020-01-18|2020-01-20|False
31333|1577|94528|vacation|2020-01-18|2020-01-20|False
31333|1577|83131|vacation|2020-01-18|2020-01-20|False
31333|1577|83132|vacation|2020-01-18|2020-01-20|False
31333|1577|83130|vacation|2020-01-18|2020-01-20|False
31333|1577|83133|vacation|2020-01-18|2020-01-20|False
31333|1577|83134|vacation|2020-01-18|2020-01-20|False
31333|1577|83135|vacation|2020-01-18|2020-01-20|False
30738|7046|31471|vacation|2020-01-28|2020-02-04|False
31436|6366|105814|vacation|2020-02-06|2020-02-06|False
31437|6366|105814|vacation|2020-02-22|2020-02-24|False
31440|8583|61167|vacation|2020-12-28|2021-01-09|False
31440|8583|61168|vacation|2020-12-28|2021-01-09|False
31439|8583|105170|vacation|2020-06-02|2020-06-13|False
31439|8583|105171|vacation|2020-06-02|2020-06-13|False
31439|8583|61168|vacation|2020-06-02|2020-06-13|False
31439|8583|61167|vacation|2020-06-02|2020-06-13|False
31438|8583|105170|vacation|2020-04-27|2020-05-02|False
31438|8583|105171|vacation|2020-04-27|2020-05-02|False
31438|8583|61168|vacation|2020-04-27|2020-05-02|False
31438|8583|61167|vacation|2020-04-27|2020-05-02|False
31445|951|39420|vacation|2020-01-21|2020-01-21|False
31445|951|39425|vacation|2020-01-21|2020-01-21|False
31445|951|39426|vacation|2020-01-21|2020-01-21|False
31445|951|66058|vacation|2020-01-21|2020-01-21|False
31445|951|66059|vacation|2020-01-21|2020-01-21|False
31445|951|88732|vacation|2020-01-21|2020-01-21|False
31445|951|88733|vacation|2020-01-21|2020-01-21|False
31445|951|66060|vacation|2020-01-21|2020-01-21|False
